{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:14:20 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:14:44 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:15:03 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:19:28 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:19:55 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:20:19 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'dictionary update sequence element #0 has length 1; 2 is required' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:20:52 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'dictionary update sequence element #0 has length 1; 2 is required' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:21:09 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:21:50 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:22:16 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'153', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:26:29 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'159', 'message':''dict' object has no attribute 'contains_key'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:27:23 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'159', 'message':'global name 'smart' is not defined' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:28:11 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'159', 'message':'' }
