{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:40:00 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:46:44 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:46:44 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:55:02 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:55:02 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'56', 'message':''NoneType' object has no attribute '__getitem__'' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:59:07 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:59:07 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'56', 'message':''NoneType' object has no attribute '__getitem__'' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/06/2015 12:02:55 AM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/06/2015 12:02:55 AM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'56', 'message':''NoneType' object has no attribute '__getitem__'' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/06/2015 12:03:17 AM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'Exception occurred. Printing exception information.' }
